"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","playerid"
"Cavan Biggio","Blue Jays","16.3%","62.0%","36.0%","62.1%","83.8%","78.3%","43.1%","49.8%","7.8%","19252"
"Mike Trout","Angels","17.4%","59.9%","36.7%","68.0%","87.4%","82.4%","45.4%","61.4%","6.5%","10155"
"Clint Frazier","Yankees","17.8%","62.5%","35.2%","41.3%","82.0%","69.4%","38.8%","55.6%","10.8%","15983"
"Luis Guillorme","Mets","17.9%","65.2%","37.0%","71.4%","86.0%","81.8%","40.4%","60.3%","6.7%","16451"
"Will Smith","Dodgers","18.2%","64.6%","38.2%","76.2%","88.2%","85.0%","43.1%","51.8%","5.7%","19197"
"Max Muncy","Dodgers","18.3%","62.5%","36.6%","54.2%","82.8%","74.4%","41.5%","54.4%","9.4%","13301"
"Brett Gardner","Yankees","18.5%","61.1%","37.1%","58.8%","82.8%","76.0%","43.6%","53.8%","8.9%","9927"
"Mitch Garver","Twins","18.7%","59.0%","36.1%","34.1%","76.5%","64.0%","43.1%","49.4%","13.0%","15161"
"Carlos Santana","Indians","18.9%","62.6%","36.2%","68.8%","86.7%","81.0%","39.5%","52.2%","6.9%","2396"
"Jace Peterson","Brewers","19.2%","64.3%","37.3%","36.4%","81.1%","67.3%","40.1%","62.3%","12.2%","12325"
"Joey Votto","Reds","19.5%","60.0%","36.2%","65.1%","86.8%","79.9%","41.2%","57.0%","7.3%","4314"
"Aaron Hicks","Yankees","19.9%","67.6%","39.4%","55.6%","80.3%","72.9%","41.0%","51.2%","10.7%","5297"
"Alex Avila","Twins","20.0%","56.8%","35.3%","48.4%","79.4%","69.1%","41.7%","50.0%","10.9%","7476"
"Daniel Vogelbach","- - -","20.3%","50.7%","33.7%","64.3%","86.9%","79.2%","43.9%","59.6%","7.0%","14130"
"Christian Yelich","Brewers","20.3%","60.1%","34.6%","45.5%","81.9%","68.2%","36.0%","50.6%","11.0%","11477"
"Trent Grisham","Padres","20.4%","60.5%","37.9%","67.5%","83.8%","78.8%","43.7%","56.3%","8.0%","18564"
"Anthony Rendon","Angels","20.8%","68.3%","40.5%","70.4%","93.7%","86.7%","41.5%","60.8%","5.4%","12861"
"Jon Berti","Marlins","20.8%","53.8%","34.9%","67.1%","91.0%","82.8%","42.6%","63.8%","6.0%","12037"
"Yoshitomo Tsutsugo","Rays","20.9%","65.8%","39.7%","70.9%","83.7%","79.8%","41.8%","58.9%","8.0%","27459"
"Tommy Pham","Padres","21.0%","62.3%","38.2%","59.0%","82.9%","75.3%","41.6%","60.8%","9.4%","2967"
"Juan Soto","Nationals","21.0%","61.4%","36.0%","69.7%","88.9%","81.9%","37.2%","49.5%","6.5%","20123"
"Alex Bregman","Astros","21.1%","58.6%","36.1%","73.1%","93.6%","86.5%","40.1%","49.4%","4.9%","17678"
"Roberto Perez","Indians","21.1%","52.9%","35.6%","62.5%","76.9%","72.3%","45.5%","52.7%","9.9%","2900"
"Curt Casali","Reds","21.2%","63.8%","39.5%","52.0%","80.5%","71.8%","42.9%","58.1%","11.1%","12510"
"Brandon Nimmo","Mets","21.3%","68.2%","41.2%","65.0%","84.8%","78.9%","42.4%","61.3%","8.7%","12927"
"Chris Taylor","Dodgers","21.3%","76.2%","44.4%","54.7%","77.8%","71.4%","42.1%","59.8%","12.7%","13757"
"Joe Panik","Blue Jays","21.4%","65.3%","38.9%","65.2%","90.6%","82.2%","39.8%","55.3%","6.9%","11936"
"Brett Phillips","- - -","21.4%","67.0%","41.7%","63.3%","68.0%","66.7%","44.4%","62.7%","13.9%","14735"
"Greg Garcia","Padres","21.6%","54.7%","37.2%","66.7%","90.7%","83.3%","47.2%","57.7%","6.2%","10951"
"Mark Canha","Athletics","21.6%","60.3%","38.0%","63.6%","86.4%","79.0%","42.4%","56.8%","8.0%","11445"
"Jason Heyward","Cubs","21.7%","57.9%","36.7%","65.0%","85.6%","78.5%","41.4%","48.6%","7.9%","4940"
"Austin Barnes","Dodgers","21.9%","72.2%","45.1%","71.7%","79.2%","77.3%","46.2%","53.8%","10.3%","12158"
"Luis Torrens","- - -","22.0%","63.8%","40.5%","63.9%","89.2%","81.5%","44.2%","69.2%","7.5%","15905"
"Brandon Belt","Giants","22.0%","74.6%","42.6%","60.9%","86.0%","78.1%","39.1%","59.2%","9.3%","10264"
"Yandy Diaz","Rays","22.3%","57.9%","35.6%","80.0%","88.7%","85.3%","37.3%","57.2%","5.2%","16578"
"Jake Cronenworth","Padres","22.4%","59.7%","39.8%","70.0%","91.9%","85.3%","46.7%","64.1%","5.8%","18036"
